Deutsch,DE
NEW_GAME,"Neues Spiel"
MULTIPLAYER,"Mehrspieler"
QUIT,"Verlassen"
RESUME,"Weitermachen"
SETTINGS,"Einstellungen"
INTERFACE,"Schnittstelle"
RESTART,"Neustart"
MUSIC,"Musik"
GUI_SOUNDS,"GUI Geräusche"
SOUNDS,"Geräusche"
VIEW_DISTANCE,"Sichtweite"
SHADOWS,"Schatten"
BACK,"Zurück"
SENSITIVITY,"Empfindlichkeit"
GENERAL_NAME_DISPLAY,"Allgemein Namensanzeige"
LOCAL_NAME_DISPLAY,"Lokal Namensanzeige"
RUN_MODE,"Laufmodus"
CHANNEL_BUTTON_BLINK,"Kanaltaste blinkt"
DOUBLE_JUMP,"Doppelsprung"
AUTO_LIPSYNC,"Automatische Lippensynchronisation"
USER,"Nutzer"
CHARACTER,"Charakter"
ABSOLUTE,"Absolut"
RELATIVE,"Relativ"
CAMPAIGNS,"Kampagnen"
START,"Start"
USERNAME,"Nutzername"
PASSWORD,"Passwort"
LOGIN,"Anmeldung"
NEW_ACCOUNT,"Neues Konto"
CHANGE_PASSWORD,"Ändere das Passwort"
CREATE_NEW_ACCOUNT,"Neuen Account Erstellen"
CONFIRM_PASSWORD,"Bestätige das Passwort"
EMAIL,"Email"
QUESTION,"Frage"
ANSWER,"Antworten"
CREATE_ACCOUNT,"Benutzerkonto Erstellen"
OLD_PASSWORD,"Altes Kennwort"
CONFIRM,"Bestätigen Sie"
SELECT,"Auswählen"
BODY,"Körper"
MARKINGS,"Zeichnung"
COLORS,"Farben"
SAVE,"Speichern"
HEAD,"Kopf"
MANE,"Mähne"
TAIL,"Schwanz"
WINGS,"Flügel"
TUFTS,"Büschel"
SIZE,"Größe"
RED,"Rot"
GREEN,"Grün"
BLUE,"Blau"
NAME,"Name"
DELETE,"Löschen"
PELT,"Pelz"
UNDERFUR,"Unterpelz"
NOSE,"Nase"
ABOVE_EYES,"Über den Augen"
BELOW_EYES,"Unter den Augen"
EARS,"Ohren"
TAIL_TIP,"Schwanzspitze"
EYES,"Augen"
CHAT_MODE,"Chat-Modus"
SAY,"Sprechen>"
ATTACK,"Attacke"
HOME,"Heim"
SET_HOME,"Nach Hause setzen"
GO_HOME,"Nach Hause gehen"
RESET_HOME,"Startseite zurücksetzen"
DIMENSION,"-Abmessungen-"
BIO,"Bio"
FRIENDS,"Freundes"
ONLINE,"Online"
OFFLINE,"Offline"
MAPS,"Karten"
BLOCKED,"Verstopft"
ITEMS,"Artikel"
EQUIPPED_ITEMS,"Ausgerüstete Gegenstände"
ACTIONS,"Aktionen"
PRIMARY,"Primär"
SECONDARY,"Sekundär"
EMOTE,"Emote"
PARTY_TITLE,"Party"
GENERAL,"Allgemein"
LOCAL,"Lokal"
PARTY,"party"
WHISPER,"Flüstern"
SIT,"Sitzen"
CROUCH,"Hocken"
POINT,"Punkt"
STRETCH,"Strecken"
HEADSWING,"Kopfschwung"
HEADBANG,"headbang"
BUTTSWING,"Hinternschwung"
WINGWAVE,"Flügelwelle"
MOONWALK,"Mondspaziergang"
THRILLER,"Thriller"
ROFL,"Rofl"
ROAR,"Gebrüll"
CURL,"Sich Kräuseln"
FAINT,"Ohnmächtig werden"
NOD_HEAD,"Kopfnicken"
SHAKE_HEAD,"Schütteln den Kopf"
NOD_HEAD_SLOW,"Kopfnicken (Langsam)"
SHAKE_HEAD_SLOW,"Schütteln den (Langsam)"
HEAD_TILT,"Kopfneigung"
LICK,"Lecke"
NUZZLE,"Nuzzle"
SNIFF,"Schnüffeln"
TAIL_FLICK,"Schwanzflip"
LAUGH,"Lachen"
CHUCKLE,"Kichern"
NORMAL,"normal"
SMILE,"Lächeln"
GRIN,"Grinsen"
JOY,"Freude"
ANGER,"Der Zorn"
EVIL_GRIN,"Böses Grinsen"
FROWN,"Stirnrunzeln"
SHOCK,"Schockieren"
FROWN_GRIN,"Stirnrunzeln Grinsen"
SMIRK,"Feixen"
SAD,"Traurig"
SUBTLE_FROWN,"Dezentes Stirnrunzeln"
PAIN,"Schmerz"
RAGE,"Rage"
REST,"Ausruhen"
REST_GRIN,"Ruhiges Grinsen"
SMUG_GRIN,"Selbstgefälliges Grinsen"
FOCUS,"Fokus"
DEAD,"Tot"
BROW_RAISE_L,"Brauen Heben L"
BROW_RAISE_R,"Brauen Heben R"
BROW_GRIN_L,"Brauen Grinsen L"
BROW_GRIN_R,"Brauen Grinsen R"
BROW_SMIRK_L,"Brauen Feixen L"
BROW_SMIRK_R,"Brauen Feixen R"
BROW_SULK_L,"Brauen Schmollen L"
BROW_SULK_R,"Brauen Schmollen R"
BROW_SHOCK_L,"Brauen Schock L"
BROW_SHOCK_R,"Brauen Schock R"
TONGUE,"Zunge"
TONGUE_GRIN,"Zunge Grinsen"
RASPBERRY,"Himbeere"
LICK,"Lecken"
GRIN_LICK,"Grinsen Lecken"
SMIRK_LICK,"Feixen Lecken"
SOFT_LICK,"Weich Lecken"
SQUINT,"Schielen"
MORE_PAIN,"Mehr Schmerz"
MUCH_PAIN,"Viel Schmerz"
MORE_JOY,"Mehr Freude"
MUCH_JOY,"Viel Freude"
SNEAKY_SMIRK,"Hinterhältiges Feixen"
ROAR,"Gebrüll"
MILD_JOY,"Milde Freude"
FROWN_JOY,"Stirnrunzeln Freude"
SMIRK_JOY,"Schmunzeln Freude"
