English,EN
NEW_GAME,"New Game"
MULTIPLAYER,"Multiplayer"
QUIT,"Quit"
RESUME,"Resume"
SETTINGS,"Settings"
INTERFACE,"Interface"
RESTART,"Restart"
MUSIC,"Music"
GUI_SOUNDS,"GUI Sounds"
SOUNDS,"Sounds"
VIEW_DISTANCE,"View Distance"
SHADOWS,"Shadows"
BACK,"Back"
SENSITIVITY,"Sensitivity"
GENERAL_NAME_DISPLAY,"General Name Display"
LOCAL_NAME_DISPLAY,"Local Name Display"
RUN_MODE,"Run Mode"
CHANNEL_BUTTON_BLINK,"Channel Button Blink"
DOUBLE_JUMP,"Double Jump"
AUTO_LIPSYNC,"Auto Lipsync"
USER,"User"
CHARACTER,"Character"
ABSOLUTE,"Absolute"
RELATIVE,"Relative"
CAMPAIGNS,"Campaigns"
START,"Start"
USERNAME,"Username"
PASSWORD,"Password"
LOGIN,"Login"
NEW_ACCOUNT,"New Account"
CHANGE_PASSWORD,"Change Password"
CREATE_NEW_ACCOUNT,"Create New Account"
CONFIRM_PASSWORD,"Confirm Password"
EMAIL,"Email"
QUESTION,"Question"
ANSWER,"Answer"
CREATE_ACCOUNT,"Create Account"
OLD_PASSWORD,"Old Password"
NEW_PASSWORD,"New Password"
CONFIRM,"Confirm"
SELECT,"Select"
BODY,"Body"
MARKINGS,"Markings"
COLORS,"Colors"
SAVE,"Save"
HEAD,"Head"
MANE,"Mane"
TAIL,"Tail"
WINGS,"Wings"
TUFTS,"Tufts"
SIZE,"Size"
RED,"Red"
GREEN,"Green"
BLUE,"Blue"
NAME,"Name"
DELETE,"Delete"
PELT,"pelt"
UNDERFUR,"underfur"
NOSE,"nose"
ABOVE_EYES,"above eyes"
BELOW_EYES,"below eyes"
EARS,"ears"
TAIL_TIP,"tail tip"
EYES,"eyes"
CHAT_MODE,"Chat Mode"
SAY,"Say>"
ATTACK,"Attack"
HOME,"Home"
SET_HOME,"Set Home"
GO_HOME,"Go Home"
RESET_HOME,"Reset Home"
DIMENSION,"-Dimension-"
BIO,"Bio"
FRIENDS,"Friends"
ONLINE,"Online"
OFFLINE,"Offline"
MAPS,"Maps"
BLOCKED,"Blocked"
ITEMS,"Items"
EQUIPPED_ITEMS,"Equipped Items"
ACTIONS,"Actions"
PRIMARY,"Primary"
SECONDARY,"Secondary"
EMOTE,"Emote"
PARTY_TITLE,"Party"
GENERAL,"general"
LOCAL,"local"
PARTY,"party"
WHISPER,"whisper"
SIT,"sit"
CROUCH,"crouch"
POINT,"point"
STRETCH,"stretch"
HEADSWING,"headswing"
HEADBANG,"headbang"
BUTTSWING,"buttswing"
WINGWAVE,"wingwave"
MOONWALK,"moonwalk"
THRILLER,"thriller"
ROFL,"rofl"
ROAR,"roar"
CURL,"curl"
FAINT,"faint"
NOD_HEAD,"nod head"
SHAKE_HEAD,"shake head"
NOD_HEAD_SLOW,"nod head (slow)"
SHAKE_HEAD_SLOW,"shake head (slow)"
HEAD_TILT,"head tilt"
LICK,"lick"
NUZZLE,"nuzzle"
SNIFF,"sniff"
TAIL_FLICK,"tail flick"
LAUGH,"laugh"
CHUCKLE,"chuckle"
NORMAL,"normal"
SMILE,"smile"
GRIN,"grin"
JOY,"joy"
ANGER,"anger"
EVIL_GRIN,"evil grin"
FROWN,"frown"
SHOCK,"shock"
FROWN_GRIN,"frown grin"
SMIRK,"smirk"
SAD,"sad"
SUBTLE_FROWN,"subtle frown"
PAIN,"pain"
RAGE,"rage"
REST,"rest"
REST_GRIN,"rest grin"
SMUG_GRIN,"smug grin"
FOCUS,"focus"
DEAD,"dead"
BROW_RAISE_L,"brow raise L"
BROW_RAISE_R,"brow raise R"
BROW_GRIN_L,"brow grin L"
BROW_GRIN_R,"brow grin R"
BROW_SMIRK_L,"brow smirk L"
BROW_SMIRK_R,"brow smirk R"
BROW_SULK_L,"brow sulk L"
BROW_SULK_R,"brow sulk R"
BROW_SHOCK_L,"brow shock L"
BROW_SHOCK_R,"brow shock R"
TONGUE,"tongue"
TONGUE_GRIN,"tongue grin"
RASPBERRY,"raspberry"
LICK,"lick"
GRIN_LICK,"grin lick"
SMIRK_LICK,"smirk lick"
SOFT_LICK,"soft lick"
SQUINT,"squint"
MORE_PAIN,"more pain"
MUCH_PAIN,"much pain"
MORE_JOY,"more joy"
MUCH_JOY,"much joy"
SNEAKY_SMIRK,"sneaky smirk"
ROAR,"roar"
MILD_JOY,"mild joy"
FROWN_JOY,"frown joy"
SMIRK_JOY,"smirk joy"
LOADING,"Loading..."
