English,US
SELECT_TERRAIN_FOLDERS,"Select Terrain Folders"
OLD,"Old:"
NEW,"New:"
CHOOSE,"Choose"
NEXT,"Next"
OPEN_A_DIRECTORY,"Open a Directory"
IMPORT_PROGRESS,"Import Progress"
INITIALIZING,"Initializing..."
ERROR,"Error"
THE_DIRECTORY,"The directory"
DOES_NOT_EXIST,"does not exist"
COPYING_IMAGES,"Copying images..."
IMPORTING_MATERIALS,"Importing materials..."
IMPORTING_MAP,"Importing map"
IMPORTING_WORLD,"Importing world"
UNKNOWN_SECTION,"Unknown section"
WILL_BE_SKIPPED,"will be skipped"
FAILED_TO_SAVE,"Failed to save"
FAILED_TO_OPEN,"Failed to open"
